20110905093544 CRAWL RESUMED - Running
           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2011-09-05T10:25:05Z        1911         452         1459        0.5(0.49)      0(15)             0             0        19129         25408            1         450         226
2011-09-05T10:25:25Z        1911         442         1469        0.5(0.49)      0(15)             0             0        16261         25920            1         440         221
2011-09-05T10:25:45Z        1911         432         1479        0.5(0.49)      0(15)             0             0        17143         25920            1         430         216
2011-09-05T10:26:05Z        1911         422         1489        0.5(0.49)      0(15)             0             0        18108         25920            1         420         211
2011-09-05T10:26:25Z        1911         412         1499        0.5(0.49)      0(15)             0             0        18999         25920            1         410         206
2011-09-05T10:26:45Z        1911         402         1509        0.5(0.49)      0(15)             0             0        16204         25984            1         400         201
2011-09-05T10:27:05Z        1911         392         1519        0.5(0.49)      0(15)             0             0        17082         25984            1         390         196
2011-09-05T10:27:25Z        1911         382         1529        0.5(0.49)      0(15)             0             0        18177         25984            1         380         191
2011-09-05T10:27:45Z        1911         372         1539        0.5(0.49)      0(14)             0             0        19052         25984            1         370         186
2011-09-05T10:28:05Z        1911         362         1549        0.5(0.49)      0(14)             0             0        16231         25856            1         360         181
2011-09-05T10:28:25Z        1911         353         1558       0.45(0.49)      0(14)             0             0        17026         25856            1         351         176
2011-09-05T10:28:45Z        1911         343         1568        0.5(0.49)      0(14)             0             0        18020         25856            1         341         171
2011-09-05T10:29:05Z        1911         333         1578        0.5(0.49)      0(14)             0             0        19090         25856            1         331         166
2011-09-05T10:29:25Z        1911         323         1588        0.5(0.49)      0(14)             0             0        16535         25472            1         321         161
2011-09-05T10:29:45Z        1911         313         1598        0.5(0.49)      4(14)             0             0        17495         25472            1         311         156
2011-09-05T10:30:05Z        1911         303         1608        0.5(0.49)     58(14)             0             0        18419         25472            1         301         151
2011-09-05T10:30:25Z        1911         293         1618        0.5(0.49)     62(15)             0             0        19428         25472            1         291         146
2011-09-05T10:30:45Z        1911         283         1628        0.5(0.49)     66(15)             0             0        16586         25856            1         281         141
2011-09-05T10:31:05Z        1911         273         1638        0.5(0.49)     65(15)             0             0        17575         25856            1         271         136
2011-09-05T10:31:25Z        1911         263         1648        0.5(0.49)     63(15)             0             0        18507         25856            1         261         131
2011-09-05T10:31:45Z        1911         254         1657       0.45(0.49)     48(16)             0             0        19423         25856            1         252         127
2011-09-05T10:32:05Z        1911         244         1667        0.5(0.49)     40(16)             0             0        16564         25344            1         242         122
2011-09-05T10:32:25Z        1911         234         1677        0.5(0.49)     44(16)             0             0        17566         25344            1         232         117
2011-09-05T10:32:45Z        1911         224         1687        0.5(0.49)     20(16)             0             0        18474         25344            1         222         112
2011-09-05T10:33:05Z        1911         214         1697        0.5(0.49)     32(16)             0             0        19472         25344            1         212         107
2011-09-05T10:33:25Z        1911         204         1707        0.5(0.49)     28(16)             0             0        16624         25792            1         202         102
2011-09-05T10:33:45Z        1911         194         1717        0.5(0.49)     31(16)             0             0        17625         25792            1         192          97
2011-09-05T10:34:05Z        1911         184         1727        0.5(0.49)     14(16)             0             0        18538         25792            1         182          92
2011-09-05T10:34:25Z        1911         174         1737        0.5(0.49)     51(16)             0             0        19542         25792            1         172          87
2011-09-05T10:34:45Z        1911         165         1746       0.45(0.49)     58(17)             0             0        16614         25344            1         163          82
2011-09-05T10:35:05Z        1911         155         1756        0.5(0.49)     58(17)             0             0        17621         25344            1         153          77
2011-09-05T10:35:25Z        1911         145         1766        0.5(0.49)     57(17)             0             0        18548         25344            1         143          72
2011-09-05T10:35:45Z        1911         135         1776        0.5(0.49)     70(17)             0             0        19560         25344            1         133          67
2011-09-05T10:36:05Z        1911         125         1786        0.5(0.49)     64(18)             0             0        16855         25728            1         123          62
2011-09-05T10:36:25Z        1911         115         1796        0.5(0.49)     64(18)             0             0        17859         25728            1         113          57
2011-09-05T10:36:45Z        1911         106         1805       0.45(0.49)     68(18)             0             0        18702         25728            1         104          53
2011-09-05T10:37:05Z        1911          96         1815        0.5(0.49)     69(18)             0             0        15957         25408            1          94          48
2011-09-05T10:37:25Z        1911          86         1825        0.5(0.49)     60(19)             0             0        16877         25408            1          84          43
2011-09-05T10:37:45Z        1911          76         1835        0.5(0.49)     60(19)             0             0        17883         25408            1          74          38
2011-09-05T10:38:05Z        1911          66         1845        0.5(0.49)     63(19)             0             0        18818         25408            1          64          33
2011-09-05T10:38:25Z        1911          56         1855        0.5(0.49)     57(19)             0             0        16084         25664            1          54          28
2011-09-05T10:38:45Z        1911          46         1865        0.5(0.49)     58(20)             0             0        17008         25664            1          44          23
2011-09-05T10:39:05Z        1911          37         1874       0.45(0.49)      7(19)             0             0        18244         25664            1          35          18
2011-09-05T10:39:25Z        1911          27         1884        0.5(0.49)      0(19)             0             0        19126         25664            1          25          13
2011-09-05T10:39:45Z        1911          17         1894        0.5(0.49)      0(19)             0             0        16279         25664            1          15           8
2011-09-05T10:40:05Z        1911           7         1904        0.5(0.49)     37(19)             0             0        17152         25664            1           5           3
2011-09-05T10:40:25Z        1911           2         1909       0.25(0.49)     80(20)             0             0        17708         25664            1           0           2
2011-09-05T10:40:45Z        1911           2         1909          0(0.49)      0(20)             0             0        17736         25664            1           0           2
2011-09-05T10:41:05Z        1911           2         1909          0(0.49)      0(19)             0             0        17843         25664            1           0           2
2011-09-05T10:41:25Z        1911           2         1909          0(0.48)      0(19)             0             0        17953         25664            1           0           2
2011-09-05T10:41:45Z        1911           2         1909          0(0.48)      0(19)             0             0        18165         25664            1           0           2
2011-09-05T10:42:05Z        1911           2         1909          0(0.48)      0(19)             0             0        18280         25664            1           0           2
2011-09-05T10:42:25Z        1911           2         1909          0(0.48)      0(19)             0             0        18304         25664            1           0           2
2011-09-05T10:42:45Z        1911           2         1909          0(0.47)      0(19)             0             0        18429         25664            1           0           2
2011-09-05T10:43:05Z        1911           2         1909          0(0.47)      0(19)             0             0        18456         25664            1           0           2
